00:18:0a:04:16:5e,00:18:0a:04:16:5e,15098.0
00:18:0a:04:16:5e,00:18:0a:04:16:a0,1956.0
00:18:0a:04:16:5e,00:18:0a:04:22:10,38.0
00:18:0a:04:16:5e,00:18:0a:04:4b:1c,61335.0
00:18:0a:04:16:5e,00:18:0a:04:5d:42,33431.0
00:18:0a:04:16:5e,00:18:0a:04:5d:52,1239.0
00:18:0a:04:16:5e,00:18:0a:04:5d:78,26278.0
00:18:0a:04:16:5e,00:18:0a:04:5d:94,12600.0
00:18:0a:04:16:5e,00:18:0a:04:5d:96,8157.0
00:18:0a:04:16:5e,00:18:0a:04:5d:a4,2306.0
00:18:0a:04:16:5e,00:18:0a:04:6d:c4,751.0
00:18:0a:04:16:5e,00:18:0a:13:1e:e0,461.0
00:18:0a:04:16:5e,00:18:0a:13:b2:50,5.0
00:18:0a:04:16:5e,00:18:0a:13:b6:90,72.0
00:18:0a:04:16:5e,00:18:0a:13:bd:60,111.0
00:18:0a:04:16:5e,00:18:0a:14:de:f0,95.0
00:18:0a:04:16:5e,00:18:0a:14:e2:b0,14.0
00:18:0a:04:16:5e,00:18:0a:14:f4:c0,70.0
00:18:0a:04:16:5e,00:18:0a:14:f8:e0,248.0
00:18:0a:04:16:5e,00:18:0a:14:f9:d0,142.0
00:18:0a:04:16:5e,00:18:0a:14:fc:50,199.0
00:18:0a:04:16:5e,00:18:0a:15:0d:70,397.0
00:18:0a:04:16:5e,00:18:0a:15:22:20,480.0
00:18:0a:04:16:5e,00:18:0a:15:22:40,29.0
00:18:0a:04:16:5e,00:18:0a:15:25:90,290.0
00:18:0a:04:16:5e,00:18:0a:15:25:b0,297.0
00:18:0a:04:16:5e,00:18:0a:15:28:30,38.0
00:18:0a:04:16:5e,00:18:0a:15:2e:b0,148.0
00:18:0a:04:16:5e,00:18:0a:15:3c:50,229.0
00:18:0a:04:16:5e,00:18:0a:15:47:c0,40.0
00:18:0a:04:16:5e,00:18:0a:15:58:b0,157.0
00:18:0a:04:16:5e,00:18:0a:15:5f:b0,80588.0
00:18:0a:04:16:5e,00:18:0a:15:65:90,229.0
00:18:0a:04:16:5e,00:18:0a:15:65:c0,1.0
00:18:0a:04:16:5e,00:18:0a:15:67:60,164.0
00:18:0a:04:16:5e,00:18:0a:15:67:c0,31.0
00:18:0a:04:16:5e,00:18:0a:15:90:f0,57.0
00:18:0a:04:16:5e,00:18:0a:15:98:e0,71250.0
00:18:0a:04:16:5e,00:18:0a:15:aa:30,76652.0
00:18:0a:04:16:5e,00:18:0a:15:b2:40,15.0
00:18:0a:04:16:5e,00:18:0a:15:b9:30,620.0
00:18:0a:04:16:5e,00:18:0a:15:ba:f0,137.0
00:18:0a:04:16:5e,00:18:0a:15:bb:a0,146.0
00:18:0a:04:16:5e,00:18:0a:15:d6:10,104883.0
00:18:0a:04:16:5e,00:18:0a:15:d7:20,58.0
